Time (ps)	Potential	Kinetic	Total
2430.000000	-236671.656250	38134.992188	-198536.656250
2440.000000	-237237.109375	37632.968750	-199604.140625
2450.000000	-237699.578125	37412.015625	-200287.562500
2460.000000	-237647.343750	37817.195312	-199830.156250
2470.000000	-237024.656250	37443.902344	-199580.750000
2480.000000	-236958.562500	37594.554688	-199364.000000
2490.000000	-237897.906250	37552.234375	-200345.671875
2500.000000	-236944.375000	37495.007812	-199449.375000
2510.000000	-236772.859375	37078.804688	-199694.062500
2520.000000	-236761.781250	37813.558594	-198948.218750
2530.000000	-237825.171875	37499.242188	-200325.937500
2540.000000	-236281.328125	37296.097656	-198985.234375
2550.000000	-237631.218750	37523.031250	-200108.187500
2560.000000	-237362.875000	37731.792969	-199631.078125
2570.000000	-237502.906250	37669.445312	-199833.468750
2580.000000	-237523.140625	37412.230469	-200110.906250
2590.000000	-236508.296875	37072.128906	-199436.171875
2600.000000	-237709.265625	37108.609375	-200600.656250
2610.000000	-236785.578125	37711.730469	-199073.843750
2620.000000	-237344.765625	37019.023438	-200325.750000
2630.000000	-237099.625000	37346.695312	-199752.937500
2640.000000	-236378.578125	37826.121094	-198552.453125
2650.000000	-237793.937500	37662.445312	-200131.500000
2660.000000	-237473.250000	37400.562500	-200072.687500
2670.000000	-237034.093750	37529.457031	-199504.640625
2680.000000	-236508.734375	37105.421875	-199403.312500
2690.000000	-237221.500000	37197.355469	-200024.140625
2700.000000	-236722.234375	37155.523438	-199566.718750
2710.000000	-237291.718750	37665.000000	-199626.718750
2720.000000	-237132.875000	37278.093750	-199854.781250
2730.000000	-237714.578125	37453.425781	-200261.156250
2740.000000	-236638.562500	37362.625000	-199275.937500
2750.000000	-237390.203125	37344.453125	-200045.750000
2760.000000	-238127.968750	37256.671875	-200871.296875
2770.000000	-237942.796875	37588.117188	-200354.687500
2780.000000	-237062.156250	37659.140625	-199403.015625
2790.000000	-236918.734375	37147.398438	-199771.343750
2800.000000	-237172.515625	37455.226562	-199717.281250
2810.000000	-236298.531250	37227.457031	-199071.078125
2820.000000	-236939.031250	37640.226562	-199298.812500
2830.000000	-236529.515625	37786.218750	-198743.296875
2840.000000	-238044.718750	37558.351562	-200486.375000
2850.000000	-236327.734375	37580.507812	-198747.218750
2860.000000	-236599.187500	37421.554688	-199177.625000
2870.000000	-237145.187500	37802.894531	-199342.296875
2880.000000	-236792.312500	37836.789062	-198955.531250
2890.000000	-237611.031250	37639.234375	-199971.796875
2900.000000	-237276.203125	37689.601562	-199586.593750
2910.000000	-238160.203125	37259.121094	-200901.078125
2920.000000	-237385.687500	37212.726562	-200172.968750
2930.000000	-236529.875000	37318.863281	-199211.015625
2940.000000	-237384.000000	37269.597656	-200114.406250
2950.000000	-237604.656250	37578.960938	-200025.687500
2960.000000	-237062.484375	37333.113281	-199729.375000
2970.000000	-236245.546875	37828.558594	-198416.984375
2980.000000	-237610.578125	37734.046875	-199876.531250
2990.000000	-236823.343750	37439.804688	-199383.531250
3000.000000	-237148.484375	37622.976562	-199525.500000
3010.000000	-235824.734375	37147.128906	-198677.609375
3020.000000	-237438.500000	37629.734375	-199808.765625
3030.000000	-236743.125000	37722.289062	-199020.843750
3040.000000	-237082.500000	37937.265625	-199145.234375
3050.000000	-237206.015625	37136.996094	-200069.015625
3060.000000	-236285.234375	37079.500000	-199205.734375
3070.000000	-237267.156250	37293.433594	-199973.718750
3080.000000	-236046.734375	37166.992188	-198879.750000
3090.000000	-237144.406250	36965.097656	-200179.312500
3100.000000	-236869.093750	37572.976562	-199296.125000
3110.000000	-237792.312500	37934.515625	-199857.796875
3120.000000	-237438.656250	37914.773438	-199523.875000
3130.000000	-236741.656250	37294.972656	-199446.687500
3140.000000	-236503.781250	37149.777344	-199354.000000
3150.000000	-237761.390625	37316.636719	-200444.750000
3160.000000	-237063.640625	37611.050781	-199452.593750
3170.000000	-236786.546875	37762.113281	-199024.437500
3180.000000	-237444.000000	37485.894531	-199958.109375
3190.000000	-237699.265625	37095.058594	-200604.203125
3200.000000	-237590.703125	37763.972656	-199826.734375
