Time (ps)	Potential	Kinetic	Total
4110.000000	-228128.000000	40325.289062	-187802.718750
4120.000000	-228185.515625	40755.191406	-187430.328125
4130.000000	-228575.796875	41035.992188	-187539.812500
4140.000000	-228209.718750	41065.742188	-187143.968750
4150.000000	-228567.093750	41070.929688	-187496.156250
4160.000000	-228429.250000	40224.000000	-188205.250000
4170.000000	-228517.796875	40274.691406	-188243.109375
4180.000000	-227641.984375	41803.460938	-185838.531250
4190.000000	-227746.578125	40423.390625	-187323.187500
4200.000000	-228119.578125	41072.617188	-187046.968750
4210.000000	-229318.218750	40664.675781	-188653.546875
4220.000000	-227858.656250	40508.203125	-187350.453125
4230.000000	-227759.328125	40866.359375	-186892.968750
4240.000000	-227694.687500	40711.679688	-186983.000000
4250.000000	-228265.031250	41092.296875	-187172.734375
4260.000000	-228773.671875	41247.984375	-187525.687500
4270.000000	-228439.578125	41026.667969	-187412.906250
4280.000000	-227936.156250	40746.359375	-187189.796875
4290.000000	-227864.734375	41235.500000	-186629.234375
4300.000000	-228178.093750	41417.562500	-186760.531250
4310.000000	-227462.953125	40357.269531	-187105.687500
4320.000000	-227148.437500	40443.117188	-186705.312500
4330.000000	-228726.843750	41175.101562	-187551.750000
4340.000000	-227825.875000	40999.800781	-186826.078125
4350.000000	-228015.531250	40972.601562	-187042.937500
4360.000000	-228187.812500	41520.398438	-186667.406250
4370.000000	-228009.656250	40439.796875	-187569.859375
4380.000000	-227991.000000	40777.648438	-187213.343750
4390.000000	-227598.453125	40848.609375	-186749.843750
4400.000000	-228761.125000	40515.476562	-188245.656250
4410.000000	-228881.984375	40978.460938	-187903.531250
4420.000000	-227879.921875	40230.925781	-187649.000000
4430.000000	-227984.671875	40472.832031	-187511.843750
4440.000000	-227820.437500	41054.726562	-186765.718750
4450.000000	-228344.921875	40715.828125	-187629.093750
4460.000000	-228461.828125	41157.746094	-187304.078125
4470.000000	-227511.453125	40748.734375	-186762.718750
4480.000000	-228921.281250	40824.285156	-188097.000000
4490.000000	-226928.312500	40436.960938	-186491.343750
4500.000000	-227876.031250	40289.089844	-187586.937500
4510.000000	-229793.109375	40987.093750	-188806.015625
4520.000000	-227949.781250	41018.527344	-186931.250000
4530.000000	-228485.984375	41145.250000	-187340.734375
4540.000000	-227723.031250	40718.484375	-187004.546875
4550.000000	-228700.437500	40959.679688	-187740.750000
4560.000000	-228326.640625	39984.660156	-188341.984375
4570.000000	-227299.156250	40863.843750	-186435.312500
4580.000000	-229152.046875	40707.527344	-188444.515625
4590.000000	-227717.921875	41090.093750	-186627.828125
4600.000000	-227960.687500	40499.421875	-187461.265625
4610.000000	-228300.859375	41398.597656	-186902.265625
4620.000000	-228323.484375	40857.328125	-187466.156250
4630.000000	-227597.687500	41045.750000	-186551.937500
